GSE,Sample_accesion,SRR_playwright
"GSE138669","GSM4115868","SRR10254548"
"GSE138669","GSM4115870","SRR10254550"
"GSE138669","GSM4115872","SRR10254552"
"GSE138669","GSM4115874","SRR10254554"
"GSE138669","GSM4115875","SRR10254555"
"GSE138669","GSM4115876","SRR10254556"
"GSE130973","GSM3758115","SRR9036396"
"GSE130973","GSM3758116","SRR9036397"
"GSE130973","GSM3758117","SRR9036398"
"GSE130973","GSM3758118","SRR9036399"
"GSE130973","GSM3758119","SRR9036400"
"GSE274955","GSM8462811","SRR30256653"
"GSE274955","GSM8462814","SRR30256650"
"GSE274955","GSM8462812","SRR30256652"
"GSE274955","GSM8462815","SRR30256649"
"GSE274955","GSM8462813","SRR30256651"
"GSE274955","GSM8462816","SRR30256648"
"GSE176415","GSM5364333","SRR14762238 SRR14762239"
"GSE176415","GSM5364334","SRR14762240 SRR14762241"
"GSE176415","GSM5364335","SRR14762242 SRR14762243"
"GSE176415","GSM5364336","SRR14762244 SRR14762245"
"GSE176415","GSM5364337","SRR14762246 SRR14762247"
"GSE176415","GSM5364338","SRR14762248 SRR14762250"
"GSE176415","GSM5364339","SRR14762251 SRR14762252"
"GSE218170","GSM6735856","SRR22293554"
"GSE218170","GSM6735857","SRR22293553"
"GSE218170","GSM6735858","SRR22293549"
"GSE218170","GSM6735859","SRR22293551"
"GSE218170","GSM6735860","SRR22293548"
"GSE218170","GSM6735861","SRR22293552"
"GSE218170","GSM6735862","SRR22293547"
"GSE218170","GSM6735863","SRR22293546"
"GSE218170","GSM6735864","SRR22293545"
"GSE218170","GSM6735865","SRR22293544"
"GSE218170","GSM6735866","SRR22293550"
"GSE207335","GSM6284671","SRR19918329"
"GSE207335","GSM6284672","SRR19918328"
"GSE207336","GSM6284673","SRR19917888"
"GSE183031","GSM5549903","SRR15668554 SRR15668555 SRR15668556 SRR15668557"
"GSE183031","GSM5549904","SRR15668558 SRR15668559 SRR15668560 SRR15668561"
"GSE183031","GSM5549905","SRR15668562 SRR15668563 SRR15668564 SRR15668565"
"GSE183031","GSM5549906","SRR15668566 SRR15668567 SRR15668568 SRR15668569"
"GSE180885","GSM5474333",""
"GSE180885","GSM5474334",""
"GSE180885","GSM5474335",""
"GSE180885","GSM5474336",""
"GSE180885","GSM5474337",""
"GSE180885","GSM5474338",""
"GSE180885","GSM5474339",""
"GSE128531","GSM3679033",""
"GSE128531","GSM3679034",""
"GSE128531","GSM3679035",""
"GSE128531","GSM3679036",""
"GSE128531","GSM3679037",""
"GSE128531","GSM3679038",""
"GSE128531","GSM3679039",""
"GSE128531","GSM3679040",""
"GSE128531","GSM3679041",""
"GSE156326","GSM4729097",""
"GSE156326","GSM4729098",""
"GSE156326","GSM4729099",""
"GSE156326","GSM4729100",""
"GSE156326","GSM4729101",""
"GSE156326","GSM4729102",""
"GSE173205","GSM5261803",""
"GSE173205","GSM5261804",""
"GSE173205","GSM5261805",""
"GSE173205","GSM5261806",""
"GSE173205","GSM5261807",""
"GSE173205","GSM5261808",""
"GSE173205","GSM5261809",""
"GSE173205","GSM5261810",""
"GSE173205","GSM5261811",""
"GSE173205","GSM5261812",""
"GSE173205","GSM5261813",""
"GSE173205","GSM5534578",""
"GSE173205","GSM5534579",""
"GSE173205","GSM5534580",""
"GSE173205","GSM5534581",""
"GSE173205","GSM5534582",""
"GSE173205","GSM5534583",""
"GSE173205","GSM5534584",""
"GSE173205","GSM5534585",""
"GSE173205","GSM5534586",""
"GSE173205","GSM5534587",""
"GSE173205","GSM5534588",""
"GSE173205","GSM5534589",""
"GSE173205","GSM5534590",""
"GSE173205","GSM5534591",""
"GSE173205","GSM5534592",""
"GSE173205","GSM5534593",""
"GSE281449","GSM8620929",""
"GSE281449","GSM8620930",""
"GSE281449","GSM8620931",""
"GSE281449","GSM8620932",""
"GSE281449","GSM8620933",""
"GSE281449","GSM8620934",""
"GSE165816","GSM5050521",""
"GSE165816","GSM5050534",""
"GSE165816","GSM5050538",""
"GSE165816","GSM5050540",""
"GSE165816","GSM5050542",""
"GSE165816","GSM5050548",""
"GSE165816","GSM5050552",""
"GSE165816","GSM5050553",""
"GSE165816","GSM5050555",""
