GSE,Sample_accesion,SRR_v3,SRR_playwright,compare
GSE138669,GSM4115868,SRR10254548,SRR10254548,exact_match
GSE138669,GSM4115870,SRR10254550,SRR10254550,exact_match
GSE138669,GSM4115872,SRR10254552,SRR10254552,exact_match
GSE138669,GSM4115874,SRR10254554,SRR10254554,exact_match
GSE138669,GSM4115875,SRR10254555,SRR10254555,exact_match
GSE138669,GSM4115876,SRR10254556,SRR10254556,exact_match
GSE130973,GSM3758115,SRR9036396,SRR9036396,exact_match
GSE130973,GSM3758116,SRR9036397,SRR9036397,exact_match
GSE130973,GSM3758117,SRR9036398,SRR9036398,exact_match
GSE130973,GSM3758118,SRR9036399,SRR9036399,exact_match
GSE130973,GSM3758119,SRR9036400,SRR9036400,exact_match
GSE274955,GSM8462811,SRR30256653,SRR30256653,exact_match
GSE274955,GSM8462814,SRR30256650,SRR30256650,exact_match
GSE274955,GSM8462812,SRR30256652,SRR30256652,exact_match
GSE274955,GSM8462815,SRR30256649,SRR30256649,exact_match
GSE274955,GSM8462813,SRR30256651,SRR30256651,exact_match
GSE274955,GSM8462816,SRR30256648,SRR30256648,exact_match
GSE176415,GSM5364333,"SRR14762238, SRR14762239",SRR14762238 SRR14762239,exact_match
GSE176415,GSM5364334,"SRR14762240, SRR14762241",SRR14762240 SRR14762241,exact_match
GSE176415,GSM5364335,"SRR14762242, SRR14762243",SRR14762242 SRR14762243,exact_match
GSE176415,GSM5364336,"SRR14762244, SRR14762245",SRR14762244 SRR14762245,exact_match
GSE176415,GSM5364337,nan,SRR14762246 SRR14762247,only_in_playwright
GSE176415,GSM5364338,nan,SRR14762248 SRR14762250,only_in_playwright
GSE176415,GSM5364339,nan,SRR14762251 SRR14762252,only_in_playwright
GSE218170,GSM6735856,SRR22293554,SRR22293554,exact_match
GSE218170,GSM6735857,SRR22293553,SRR22293553,exact_match
GSE218170,GSM6735858,nan,SRR22293549,only_in_playwright
GSE218170,GSM6735859,nan,SRR22293551,only_in_playwright
GSE218170,GSM6735860,nan,SRR22293548,only_in_playwright
GSE218170,GSM6735861,nan,SRR22293552,only_in_playwright
GSE218170,GSM6735862,nan,SRR22293547,only_in_playwright
GSE218170,GSM6735863,nan,SRR22293546,only_in_playwright
GSE218170,GSM6735864,nan,SRR22293545,only_in_playwright
GSE218170,GSM6735865,nan,SRR22293544,only_in_playwright
GSE218170,GSM6735866,nan,SRR22293550,only_in_playwright
GSE207335,GSM6284671,SRR19918329,SRR19918329,exact_match
GSE207335,GSM6284672,SRR19918328,SRR19918328,exact_match
GSE207336,GSM6284673,SRR19917888,SRR19917888,exact_match
GSE183031,GSM5549903,"SRR15668554, SRR15668555, SRR15668556, SRR15668557",SRR15668554 SRR15668555 SRR15668556 SRR15668557,exact_match
GSE183031,GSM5549904,"SRR15668558, SRR15668559, SRR15668560, SRR15668561",SRR15668558 SRR15668559 SRR15668560 SRR15668561,exact_match
GSE183031,GSM5549905,"SRR15668562, SRR15668563, SRR15668564, SRR15668565",SRR15668562 SRR15668563 SRR15668564 SRR15668565,exact_match
GSE183031,GSM5549906,nan,SRR15668566 SRR15668567 SRR15668568 SRR15668569,only_in_playwright
GSE180885,GSM5474333,nan,,both_empty
GSE180885,GSM5474334,nan,,both_empty
GSE180885,GSM5474335,nan,,both_empty
GSE180885,GSM5474336,nan,,both_empty
GSE180885,GSM5474337,nan,,both_empty
GSE180885,GSM5474338,nan,,both_empty
GSE180885,GSM5474339,nan,,both_empty
GSE128531,GSM3679033,nan,,both_empty
GSE128531,GSM3679034,nan,,both_empty
GSE128531,GSM3679035,nan,,both_empty
GSE128531,GSM3679036,nan,,both_empty
GSE128531,GSM3679037,nan,,both_empty
GSE128531,GSM3679038,SRR19656456,,missing_in_playwright
GSE128531,GSM3679039,SRR19656455,,missing_in_playwright
GSE128531,GSM3679040,SRR19656454,,missing_in_playwright
GSE128531,GSM3679041,SRR19656453,,missing_in_playwright
GSE156326,GSM4729097,nan,,both_empty
GSE156326,GSM4729098,nan,,both_empty
GSE156326,GSM4729099,nan,,both_empty
GSE156326,GSM4729100,nan,,both_empty
GSE156326,GSM4729101,nan,,both_empty
GSE156326,GSM4729102,nan,,both_empty
GSE173205,GSM5261803 ,nan,,both_empty
GSE173205,GSM5261804 ,nan,,both_empty
GSE173205,GSM5261805 ,nan,,both_empty
GSE173205,GSM5261806 ,nan,,both_empty
GSE173205,GSM5261807 ,nan,,both_empty
GSE173205,GSM5261808 ,nan,,both_empty
GSE173205,GSM5261809 ,nan,,both_empty
GSE173205,GSM5261810 ,nan,,both_empty
GSE173205,GSM5261811 ,nan,,both_empty
GSE173205,GSM5261812 ,nan,,both_empty
GSE173205,GSM5261813 ,nan,,both_empty
GSE173205,GSM5534578 ,nan,,both_empty
GSE173205,GSM5534579 ,nan,,both_empty
GSE173205,GSM5534580 ,nan,,both_empty
GSE173205,GSM5534581 ,nan,,both_empty
GSE173205,GSM5534582 ,nan,,both_empty
GSE173205,GSM5534583 ,nan,,both_empty
GSE173205,GSM5534584 ,nan,,both_empty
GSE173205,GSM5534585 ,nan,,both_empty
GSE173205,GSM5534586 ,nan,,both_empty
GSE173205,GSM5534587 ,nan,,both_empty
GSE173205,GSM5534588 ,nan,,both_empty
GSE173205,GSM5534589 ,nan,,both_empty
GSE173205,GSM5534590 ,nan,,both_empty
GSE173205,GSM5534591 ,nan,,both_empty
GSE173205,GSM5534592 ,nan,,both_empty
GSE173205,GSM5534593 ,nan,,both_empty
GSE281449,GSM8620929,nan,,both_empty
GSE281449,GSM8620930,nan,,both_empty
GSE281449,GSM8620931,nan,,both_empty
GSE281449,GSM8620932,nan,,both_empty
GSE281449,GSM8620933,nan,,both_empty
GSE281449,GSM8620934,nan,,both_empty
GSE165816,GSM5050521 ,nan,,both_empty
GSE165816,GSM5050534 ,nan,,both_empty
GSE165816,GSM5050538 ,nan,,both_empty
GSE165816,GSM5050540 ,nan,,both_empty
GSE165816,GSM5050542 ,nan,,both_empty
GSE165816,GSM5050548 ,nan,,both_empty
GSE165816,GSM5050552 ,nan,,both_empty
GSE165816,GSM5050553 ,nan,,both_empty
GSE165816,GSM5050555 ,nan,,both_empty
GSE165816,GSM5050556 ,nan,,both_empty
GSE165816,GSM5050560 ,nan,,both_empty
GSE165816,GSM5050564 ,nan,,both_empty
GSE165816,GSM5050567 ,nan,,both_empty
GSE165816,GSM5050568 ,nan,,both_empty
GSE165816,GSM5050574 ,nan,,both_empty
GSE165816,GSM5050522 ,nan,,both_empty
GSE165816,GSM5050524 ,nan,,both_empty
GSE165816,GSM5050525 ,nan,,both_empty
GSE165816,GSM5050526 ,nan,,both_empty
GSE165816,GSM5050528 ,nan,,both_empty
GSE165816,GSM5050529 ,nan,,both_empty
GSE165816,GSM5050562 ,nan,,both_empty
GSE165816,GSM5050565 ,nan,,both_empty
GSE165816,GSM5050570 ,nan,,both_empty
GSE165816,GSM5050572 ,nan,,both_empty
GSE165816,GSM5050523 ,nan,,both_empty
GSE165816,GSM5050527 ,nan,,both_empty
GSE165816,GSM5050531 ,nan,,both_empty
GSE165816,GSM5050532 ,nan,,both_empty
GSE165816,GSM5050536 ,nan,,both_empty
GSE165816,GSM5050537 ,nan,,both_empty
GSE165816,GSM5050539 ,nan,,both_empty
GSE165816,GSM5050541 ,nan,,both_empty
GSE165816,GSM5050547 ,nan,,both_empty
GSE165816,GSM5050566 ,nan,,both_empty
GSE165816,GSM5050569 ,nan,,both_empty
GSE165816,GSM5050573 ,nan,,both_empty
GSE165816,GSM5050530 ,nan,,both_empty
GSE165816,GSM5050533 ,nan,,both_empty
GSE165816,GSM5050535 ,nan,,both_empty
GSE165816,GSM5050557 ,nan,,both_empty
GSE165816,GSM5050558 ,nan,,both_empty
GSE165816,GSM5050559 ,nan,,both_empty
GSE165816,GSM5050563 ,nan,,both_empty
GSE175990,GSM5352392,nan,SRR14711060,only_in_playwright
GSE175990,GSM5352393,nan,SRR14711061,only_in_playwright
GSE175990,GSM5352394,nan,SRR14711062,only_in_playwright
GSE175990,GSM5352395,nan,SRR14711063,only_in_playwright
GSE195452,GSM5837302,nan,SRR17762893,only_in_playwright
GSE195452,GSM5837244,nan,SRR17763282,only_in_playwright
GSE195452,GSM5837119,nan,SRR17763052,only_in_playwright
GSE195452,GSM5837246,nan,SRR17763284,only_in_playwright
GSE195452,GSM5837473,nan,SRR17763130,only_in_playwright
GSE195452,GSM5837488,nan,SRR17763145,only_in_playwright
GSE195452,GSM5837623,nan,SRR17763376,only_in_playwright
GSE195452,GSM5837676,nan,SRR17762982,only_in_playwright
GSE195452,GSM5837697,nan,SRR17763003,only_in_playwright
