hotel_id,name,price,rating,location,url,collected_at
https://www.trip.com/hotels/?locale=en-XX&curr=USD,Hotels & Homes,,,,https://www.trip.com/hotels/?locale=en-XX&curr=USD,2026-03-09T03:01:48.106Z
375477,Collection Standard Queen Bed Room,US$131,9.2,Near Nanjing Road Pedestrian Street People's Square AreaShow on MapNo,https://www.trip.com/hotels/detail/?cityEnName=Shanghai&cityId=2&hotelId=375477&checkIn=2026-03-09&checkOut=2026-03-10&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-Pax8TFJMEktZ2J4-rKG00sQowGjv2HvmrE3G9x8GQAAYU2hwCeQjBzQa5DI-PZM0DwJ9NhBuPWr2IrGBk3MnJdX1xgy-XisIOR6QRj4gKmE-cUTrGwchxmkWC5xLKZMbpaKTu1UsnKREepJLMkJ1XJSinMMURJRykltTgZyAGyEnPzS_NKgGxTPXNLIL8kscIzBawjOTEnuTQnsSQ1pLIAqNNMRymz2LmkKLMgKDU3s6QkFagqLTGnOBUkHpRaDJRJBgsq-QGNKYIKZObnQbQbooiFJeaUpkIcALTQLRVqh2Ft7CMWpujYTywMv4DeuCIlwdLEytDFyjCJlZXjl78Eyy5WNvcQj3Bz0wuszYxScoYGBgamhsamproGiZbGiSYpybomlkamBua6xmZmZhrnX61pOWtsJHuKUcrQ3NzYwMjU2MDCxNxCz9DE0DLcvNTNtCQ8zYMxiM3UwNjcyC3KhovZ2S9SEBzgDB_spZhDg10Ul-49KK62WdpBCyRnCJMLhDEiYxQcPyavkXZIYk3N042IyDggUsDYxcgtwOjBGMFYwdjAyLiKkWEDI-MOxv8wwPiKEWQ0AJGUsioBAgAA&masterhotelid_tracelogid=100051355-0a93a4dc-492507-3666&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=2000&isCT=true&isFlexible=F&isFirstEnterDetail=T&locale=en-XX&isRightClick=T,2026-03-09T03:01:48.106Z
38322346,Queen Room,US$32,9.3,"Near Qibao Metro Station Xinzhuang, QibaoShow on MapQueen RoomFree CancellationLast booked 10 mins agoSpecial Discount5% offUS$32US$30Total (incl",https://www.trip.com/hotels/detail/?cityEnName=Shanghai&cityId=2&hotelId=38322346&checkIn=2026-03-09&checkOut=2026-03-10&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-PaxcTFJMEktZmJY-_bR0cYhRgNDCIsbkU4Hv6qEdMflOXgeX1xgS3X82yHAJ5CBjBQc5jBuKpxsdAKRsaNjB4Pq0TWuWs67GBkOsEot4DpIFDiFAsrxzZGCZZLLJsZo6uVslMrlaxMdJRKMktyUpWslMIcQ5R0lFJSi5OBHCArMTe_NK8EyDbUszAC8ksSKzxTwDqSE3OSS3MSS1JDKguAOs10lDKLnUuKMguCUnMzS0pSgarSEnOKU0HiQanFQJlksKCSH9CYIqhAZn4eRLshilhYYk5pKsQBQAvdUqF2GNbGPmJhio79xMLwC-iNmUBvNLEydLEyTGJl5ZgrKcGyi5XNNdgvKMr_AquClJyhgYGBqaGxqamuQaKlcaJJSrKuiaWRqYG5rrGZmZnGhVdrWs4aG8meYpQyNDc3NjAyNTawMDG30DM0MbQMNy91My0JT_NgDGJzc3E1NzaNsuFidvaLFISE8wd7KebQYBfFpXsPiqttlnbQAskZwuQCYYzIGAXHj8lrpB2SWFPzdCMiMg6IFDB2MXILMHowRjBWMDYwMq5iZNjAyLiD8T8MML5iBBkNAHOtyN_9AQAA&masterhotelid_tracelogid=100051355-0a93a4dc-492507-3666&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=2000&isCT=true&isFlexible=F&isFirstEnterDetail=T&locale=en-XX&isRightClick=T,2026-03-09T03:01:48.106Z
375528,Standard Room,US$86,9.4,"Near shopping area""Near Nanjing Road Pedestrian Street People's Square AreaShow on MapStandard Room/Last booked 5 mins agoUS$86Total (incl",https://www.trip.com/hotels/detail/?cityEnName=Shanghai&cityId=2&hotelId=375528&checkIn=2026-03-09&checkOut=2026-03-10&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-O6w8zFJMEkdZWZ4_6cO6dYhRgNHGfNBIEmB08GENjQ6hDAM4PxxVexjYzGILA5wmEHI9MJxrAFTIcPy55iYeWYxC3BconlA1N0tVJ2aqWSlYmOUklmSU6qkpVScGpRWWZyqkJyRmJReqqSjlJKanEyUBzISszNL80rAbIt9EwtgfySxArPFCUrcx2l5MSc5NKcxJLUkMoCoCFmOkqZxc4lRZkFQam5mSUlqUBVaYk5xakg8aDUYqBMMlhQyQ9oTBFUIDM_D6LdAEUsLDGnNBXiAKCFbqlQO4xrdTAdH-YYgt3Fpnpm5ggXmwyIiw1rYx-xMEXHfmJh-MXC0MTK0MXKMImVlWOZnwTLLlY2v0gTU0tnKTlDAwMDU0NjU1Ndg0RL40STlGRdE0sjUwNzXWMzMzONC6_WtJw1NpI9xShlaG5ubGBkamxgYWJuoWdoYmgZbl7qZloSnubBGMTmampk6GoaZcPF7OwXKQhOGQwf7KWYQ4NdFJfuPSiutlnaQQskZwiTC4QxImMUHD8mr5F2SGJNzdONiMg4IFLA2MXILcDowRjBWMHYwMi4ipFhAyPjDsb_MMD4ihFkNAC9JukdnwIAAA&masterhotelid_tracelogid=100051355-0a93a4dc-492507-3666&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=2000&isCT=true&isFlexible=F&isFirstEnterDetail=T&locale=en-XX&isRightClick=T,2026-03-09T03:01:48.106Z
686139,"Guestroom (Double bed) (Special promotion, no window)",US$46,8.9,"Near West Yan'an Road Metro Station Zhongshan Park Commercial AreaShow on MapGuestroom (Double bed) (Special promotion, no window)Free CancellationLast booked 16 mins agoFirst stay deal41% offUS$46US$26Total (incl",https://www.trip.com/hotels/detail/?cityEnName=Shanghai&cityId=2&hotelId=686139&checkIn=2026-03-09&checkOut=2026-03-10&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-Pay8TFJMEktY2JY-OThj5GIUYDx5j-Q181lqQ5eDKAQYZDAE8hmKWQ6NDIaMt1fXHB2liHGYy7P2iuYGTcCBHZq-qwg5HpBKPUAqa9HzRPsbByzGWUYLnEspkxulopO7VSycpER6kksyQnVclKKcwxRElHKSW1OBnIAbISc_NL80qAbEM9U3MgvySxwjMFrCM5MSe5NCexJDWksgCo00xHKbPYuaQosyAoNTezpCQVqCotMac4FSQelFoMlEkGCyr5AY0pggpk5udBtBuiiIUl5pSmQhwAtNAtFWqHYW3sIxam6NhPLAy_gN44zCjB1MTK0MXKMImVleOjqATLLlY2l3BLQ3P3C6x6UnKGBgYGpobGpqa6BomWxokmKcm6JpZGpgbmusZmZmYaF1-taTlrbCR7ilHK0Nzc2MDI1NjAwsTcQs_QxNAy3LzUzbQkPM2DMYjN0tXQ0NgkyoaL2dkvUhAS9B_spZhDg10Ul-49KK62WdpBCyRnCJMLhDEiYxQcPyavkXZIYk3N042IyDggUsDYxcgtwOjBGMFYwdjAyLiKkWEDI-MOxv8wwPiKEWQ0AG-dfSMAAgAA&masterhotelid_tracelogid=100051355-0a93a4dc-492507-3666&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=2000&isCT=true&isFlexible=F&isFirstEnterDetail=T&locale=en-XX&isRightClick=T,2026-03-09T03:01:48.106Z
122358729,Treasure Deluxe Twin Room,US$114,9.5,People's Square,https://www.trip.com/hotels/detail/?cityEnName=Shanghai&cityId=2&hotelId=122358729&checkIn=2026-03-09&checkOut=2026-03-10&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-M6ysTFJMEktY-JY3bj9jesQowGButELG5FOMb0H_qqsaLBwZMBBFY0OgTwFIKZD_IdGhm5ri8usGXKdpjBeHL6GqsVjIwbGatF1rk__GXvsIOR6QSj7wKme3PWWJ1iYeU4xyzBcollM2N0tVJ2aqWSlYmOUklmSU6qkpVSmGOIko5SSmpxMpADZCXm5pfmlQDZJnpmRkB-SWKFZwpYR3JiTnJpTmJJakhlAVCnmY5SZrFzSVFmQVBqbmZJSSpQVVpiTnEqSDwotRgokwwWVPIDGlMEFcjMz4NoN0QRC0vMKU2FOABooVsq1A7D2thHLEzRsZ9YGH4BvXFDRoKliZWhi5VhEisrx0t7CZZdrGz-Ee4G_o4XWIuk5AwNDAxMDY1NTXUNEi2NE01SknVNLI1MDcx1jc3MzDQuvlrTctbYSPYUo5ShubmxgZGpsYGFibmFnqGJoWW4eambaUl4mgdjEJuJmbmLhXOUDRezs1-kIDjEGT7YSzGHBrsoLt17UFxts7SDFkjOECYXCGNExig4fkxeI-2QxJqapxsRkXFApICxi5FbgNGDMYKxgrGBkXEVI8MGRsYdjP9hgPEVI8hoAOgiEMUIAgAA&masterhotelid_tracelogid=100051355-0a93a4dc-492507-3666&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=2000&isCT=true&isFlexible=F&isFirstEnterDetail=T&locale=en-XX&isRightClick=T,2026-03-09T03:01:48.106Z
95472738,Discount Twin Room,US$79,9.7,"Near Huinan Metro Station Kangqiao, Nanhui AreaShow on MapDiscount Twin Room30-minute Cancellation WindowBreakfast includedLast booked 10 mins agoSurprise Savings40% offUS$79US$46Total (incl",https://www.trip.com/hotels/detail/?cityEnName=Shanghai&cityId=2&hotelId=95472738&checkIn=2026-03-09&checkOut=2026-03-10&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-M6wcTFJMEkdZCJ4_Kb3f2sQowGButELG5FOGrG9B_6-qfYwZMBBAxKHQJ4CsHMBTkOjYzr3B9WifzLcJjB-GjGYd0VjIwbGQttua4vNjB22MHIdICR6QSj3gKmx0C5UyysHFOZJFgusWxmjK5Wyk6tVLIy0VEqySzJSVWyUgpzDFHSUUpJLU4GcoCsxNz80rwSINtIz9wcyC9JrPBMAetITsxJLs1JLEkNqSwA6jTTUcosdi4pyiwISs3NLClJBapKS8wpTgWJB6UWA2WSwYJKfkBjiqACmfl5EO2GKGJhiTmlqRAHAC10S4XaYVgb-4iFKTr2EwvDL6A3LktKsDSxMnSxMkxiZeXYribBsouVzSPQJCjY7AKrv5ScoYGBgamhsamprkGipXGiSUqyromlkamBua6xmZmZxqVXa1rOGhvJnmKUMjQ3NzYwMjU2sDAxt9AzNDG0DDcvdTMtCU_zYAxis3CyNHG2jLLhYnb2ixQEBzrDB3sp5tBgF8Wlew-Kq22WdtACyRnC5AJhjMgYBcePyWukHZJYU_N0IyIyDogUMHYxcgswejBGMFYwNjAyrmJk2MDIuIPxPwwwvmIEGQ0Awf1N6AsCAAA&masterhotelid_tracelogid=100051355-0a93a4dc-492507-3666&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=2000&isCT=true&isFlexible=F&isFirstEnterDetail=T&locale=en-XX&isRightClick=T,2026-03-09T03:01:48.106Z
6870954,Twin Room,US$35,8.8,Near Shanghai Pudong International Airport Pudong International Airport AreaShow on MapTwin RoomFree CancellationOnly 4 left at this priceFirst stay deal50% offUS$35US$17Total (incl,https://www.trip.com/hotels/detail/?cityEnName=Shanghai&cityId=2&hotelId=6870954&checkIn=2026-03-09&checkOut=2026-03-10&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-Paw8TFJMEktZWJY-3eo_OZhRgNHL9pxPQfOhrj4MkAAg1xDgE8hWAmQ7xDIyPX9cUFtlJRDjMYV61fzLyCkXEj45ICW6CotMMORqYTjIILmF6172I_xcLEwXiJZTNjdLVSdmqlkpWJjlJJZklOqpKVUphjiJKOUkpqcTKQA2Ql5uaX5pUA2YZ6BgZAfklihWcKWEdyYk5yaU5iSWpIZQFQp5mOUmaxc0lRZkFQam5mSUkqUFVaYk5xKkg8KLUYKJMMFlTyAxpTBBXIzM-DaDdEEQtLzClNhTgAaKFbKtQOw9rYRyxM0bGfWBh-sbByfOSVYGliZehiZZjEysrxHsjbxcpmYhJi4Ox0gVVZSs7QwMDA1NDY1FTXINHSONEkJVnXxNLI1MBc19jMzEzj0qs1LWeNjWRPMUoZmpsbGxiZGhtYmJhb6BmaGFqGm5e6mZaEp3kwBrG5GVq6WrhE2XAxO_tFCkKC-4O9FHNosIvi0r0HxdU2SztogeQMYXKBMEZkjILjx-Q10g5JrKl5uhERGQdEChi7GLkFGD0YIxgrGBsYGVcxMmxgZNzB-B8GGF8xgowGAEp4kkP_AQAA&masterhotelid_tracelogid=100051355-0a93a4dc-492507-3666&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=2000&isCT=true&isFlexible=F&isFirstEnterDetail=T&locale=en-XX&isRightClick=T,2026-03-09T03:01:48.106Z
107901525,Superior Queen Room,US$51,9.0,Near Haitiansan Road Metro Station Pudong International Airport AreaShow on MapSuperior Queen RoomBreakfast includedLast booked 11 mins agoUS$51Total (incl,https://www.trip.com/hotels/detail/?cityEnName=Shanghai&cityId=2&hotelId=107901525&checkIn=2026-03-09&checkOut=2026-03-10&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-N6wszFJMEkdZeZY-LzF6dZhRgNLG5FOO6Qa30d-KbUwZMBBCZUOgTwzGC8-mSn8UZGW67riwtkfR12MDIdYGQ6wWi8gOkGUOIUCyvHSTYJlkssH5iiq5WyUyuVrEx0lEoyS3JSlayUwhxDlHSUUlKLk4EcICsxN780rwTINtYzNgHySxIrPFPAOpITc5JLcxJLUkMqC4A6zXSUMoudS4oyC4JSczNLSlKBqtISc4pTQeJBqcVAmWSwoJIf0JgiqEBmfh5EuwGKWFhiTmkqxAFAC91SoXYY1upgujg4tagsMzlVITkjsSg9FbvjTfUMzBGONx8QxxvXxj5iYYqO_cTC8IuFoYmVoYuVYRIrK8ckPQmWXaxsfsFBnhamUnKGBgYGpobGpqa6BomWxokmKcm6JpZGpgbmusZmZmYal1-taTlrbCR7ilHK0Nzc2MDI1NjAwsTcQs_QxNAy3LzUzbQkPM2DMYjN1NLS1dUkyoaL2dkvUhCcPBg-2Esxhwa7KC7de1BcbbO0gxZIzhAmFwhjRMYoOH5MXiPtkMSamqcbEZFxQKSAsYuRW4DRgzGCsYKxgZFxFSPDBkbGHYz_YYDxFSPIaAAobze_pwIAAA&masterhotelid_tracelogid=100051355-0a93a4dc-492507-3666&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=2000&isCT=true&isFlexible=F&isFirstEnterDetail=T&locale=en-XX&isRightClick=T,2026-03-09T03:01:48.106Z
72926277,Deluxe Queen Room,US$118,9.5,Near Nanjing Road Pedestrian Street People's Square AreaShow on MapNo,https://www.trip.com/hotels/detail/?cityEnName=Shanghai&cityId=2&hotelId=72926277&checkIn=2026-03-09&checkOut=2026-03-10&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-M6xMTFJMEktZuJY_m-yR-ZhRgNDGYLW9yMcDx7Bgie1Dp4MoDAhnqHAJ5CMDOg1KGREcxiKXKYwXi047HSCkbGjYzGILDZxmEHI9MJRtcFTOeAEqdYWDnmMUuwXGLZzBhdrZSdWqlkZaKjVJJZkpOqZKUU5hiipKOUklqcDOQAWYm5-aV5JUC2iZ6hCZBfkljhmQLWkZyYk1yak1iSGlJZANRppqOUWexcUpRZEJSam1lSkgpUlZaYU5wKEg9KLQbKJIMFlfyAxhRBBTLz8yDaDVHEwhJzSlMhDgBa6JYKtcOwNvYRC1N07CcWhl8sTByGTawMXawMk1hZOTZZSrDsYmVz9wn08HW-wFomJWdoYGBgamhsaqprkGhpnGiSkqxrYmlkamCua2xmZqZx-dWalrPGRrKnGKUMzc2NDYxMjQ0sTMwtgL40tAw3L3UzLQlP82AMYjM3dHGycIuy4WJ29osUBAcywwd7KebQYBfFpXsPiqttlnbQAskZwuQCYYzIGAXHj8lrpB2SWFPzdCMiMg6IFDB2MXILMHowRjBWMDYwMq5iZNjAyLiD8T8MML5iBBkNAGHwqfUFAgAA&masterhotelid_tracelogid=100051355-0a93a4dc-492507-3666&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0*29%7C1~29~1%7C2&hotelType=normal&display=exavg&subStamp=2000&isCT=true&isFlexible=F&isFirstEnterDetail=T&locale=en-XX&isRightClick=T,2026-03-09T03:01:48.106Z
